log_fci_size,one_norm,total_pstrings,n_qubits,n_elec,max_vertex_deg,min_vertex_deg,avg_vertex_deg,vertex_deg_std_dev,avg_edge_order,edge_order_std_dev,max_edge_weight,min_edge_weight,avg_edge_weight,edge_weight_std_dev,cisd,mp2,ccsd,ccsdt
10.78725509,29.41029869,705,12,6,455,203,379,89.09171305,6.45106383,2.89988058,11.30765337,2.02E-08,0.041716736,0.440964014,TRUE,TRUE,TRUE,TRUE
23.62006596,193.4640883,15105,24,12,8797,2221,7502.666667,1878.919962,11.92082092,5.031416045,72.30782573,2.26E-08,0.01280795,0.602190192,FALSE,FALSE,FALSE,FALSE
10.78725509,23.74634262,693,12,6,439,221,368.6666667,71.84628654,6.383838384,2.598117586,9.206758834,2.81E-07,0.034266007,0.361477806,TRUE,TRUE,TRUE,TRUE
22.51658249,248.2373728,7419,20,14,4617,1466,3696.2,927.6819282,9.964146111,4.038540286,104.4538372,1.71E-08,0.033459681,1.266976075,FALSE,FALSE,FALSE,TRUE
10.78725509,21.81241427,689,12,6,441,221,373,73.56176543,6.496371553,2.647736643,8.199350682,4.21E-06,0.031658076,0.323794371,FALSE,FALSE,FALSE,FALSE
6.66440902,15.42703418,137,8,4,89,57,79,12,4.613138686,2.058445928,5.668439288,1.80E-08,0.112606089,0.502036614,FALSE,FALSE,FALSE,FALSE
15.01318356,64.84496642,2809,16,8,1709,609,1422.75,332.6468661,8.103951584,3.381395613,24.12749069,9.30E-07,0.023084716,0.469533384,TRUE,FALSE,TRUE,TRUE
27.96888576,319.7331008,26725,28,14,15299,3501,12538,3328.531959,13.13616464,5.438199424,112.9122975,5.81E-08,0.01196382,0.708841532,FALSE,FALSE,TRUE,TRUE
27.96888576,325.0926664,47773,28,14,27807,6561,22953.42857,6391.631702,13.45312206,5.607827307,108.5137069,1.00E-08,0.006804946,0.50670102,FALSE,FALSE,FALSE,FALSE
18.11157922,157.594201,11396,18,10,6882,2378,5786.888889,1464.04466,9.14040014,3.515015174,54.36743512,1.05E-08,0.013828905,0.52932409,FALSE,FALSE,TRUE,TRUE
15.01318356,65.55946189,2341,16,8,1425,741,1183.75,211.4496098,8.09055959,3.888712533,24.82730666,3.00E-07,0.028004896,0.529839005,TRUE,FALSE,FALSE,FALSE
22.51658249,250.7762245,4033,20,14,2281,783,1875.4,425.0301636,9.30027275,4.428380668,101.5213912,1.01E-08,0.062181062,1.653188696,FALSE,FALSE,FALSE,FALSE
