system,basis,CCSD
n2,5dz,-109.39339
n2_h4,2z,-111.561056
n2_h4,2dz,-111.561056
n2_h4,3z,-111.682203
n2_h4,3dz,-111.682203
n2_h4,4z,-111.717505
n2_h4,4dz,-111.717505
n2_h4,5z,-111.728775
n2_h4,5dz,-111.728775
n_o,2z,-129.586465
n_o,2dz,-129.586465
n_o,3z,-129.697962
n_o,3dz,-129.697962
n_o,4z,-129.73354
n_o,4dz,-129.73354
n_o,5z,-129.745178
n_o,5dz,-129.745178
o2,2z,-149.974818
o2,2dz,-149.974818
o2,3z,-150.109701
o2,3dz,-150.109701
o2,4z,-150.152197
o2,4dz,-150.152197
o2,5z,-150.166385
o2,5dz,-150.166385
h2_o2,2z,-151.184558
h2_o2,2dz,-151.184558
h2_o2,3z,-151.340155
h2_o2,3dz,-151.340155
h2_o2,4z,-151.387152
h2_o2,4dz,-151.387152
h2_o2,5z,-151.402922
h2_o2,5dz,-151.402922
f2,2z,-199.088456
f2,2dz,-199.088456
f2,3z,-199.278119
f2,3dz,-199.278119
f2,4z,-199.338031
f2,4dz,-199.338031
f2,5z,-199.358934
f2,5dz,-199.358934
c_o2,2z,-188.129478
c_o2,2dz,-188.129478
c_o2,3z,-188.298669
c_o2,3dz,-188.298669
c_o2,4z,-188.353315
c_o2,4dz,-188.353315
c_o2,5z,-188.370789
c_o2,5dz,-188.370789
na2,2z,-323.730835
na2,2dz,-323.731044
na2,3z,-323.742187
na2,3dz,-323.742377
na2,4z,-323.743702
na2,4dz,-323.743879
na2,5z,-323.744315
na2,5dz,-323.744363
si2,2z,-577.919449
si2,2dz,-577.924074
si2,3z,-577.966491
si2,3dz,-577.968182
si2,4z,-577.979646
si2,4dz,-577.980687
si2,5z,-577.984053
si2,5dz,-577.984463
p2,2z,-681.709917
p2,2dz,-681.718647
p2,3z,-681.785402
p2,3dz,-681.788961
p2,4z,-681.808346
p2,4dz,-681.810549
p2,5z,-681.816612
p2,5dz,-681.817359
s2,2z,-795.319724
s2,2dz,-795.332218
s2,3z,-795.43487
s2,3dz,-795.440029
s2,4z,-795.467996
s2,4dz,-795.471303
s2,5z,-795.479892
s2,5dz,-795.481012
cl2,2z,-919.256609
cl2,2dz,-919.269461
cl2,3z,-919.409008
cl2,3dz,-919.413939
cl2,4z,-919.454365
cl2,4dz,-919.45776
cl2,5z,-919.46976
cl2,5dz,-919.471139
na_cl,2z,-621.586419
na_cl,2dz,-621.592873
na_cl,3z,-621.670306
na_cl,3dz,-621.672857
na_cl,4z,-621.696179
na_cl,4dz,-621.698017
na_cl,5z,-621.704897
na_cl,5dz,-621.705687
si_o,2z,-364.068641
si_o,2dz,-364.079648
si_o,3z,-364.177027
si_o,3dz,-364.181297
si_o,4z,-364.209547
si_o,4dz,-364.211535
si_o,5z,-364.221344
si_o,5dz,-364.221834
c_s,2z,-435.590114
c_s,2dz,-435.597132
c_s,3z,-435.671405
c_s,3dz,-435.674235
c_s,4z,-435.696538
c_s,4dz,-435.698296
c_s,5z,-435.705296
c_s,5dz,-435.705843
s_o,2z,-472.650851
s_o,2dz,-472.66243
s_o,3z,-472.789963
s_o,3dz,-472.795275
s_o,4z,-472.830186
s_o,4dz,-472.83331
s_o,5z,-472.8451
s_o,5dz,-472.845989
cl_o,2z,-534.564778
cl_o,2dz,-534.574084
cl_o,3z,-534.716785
cl_o,3dz,-534.72084
cl_o,4z,-534.762301
cl_o,4dz,-534.764945
cl_o,5z,-534.778413
cl_o,5dz,-534.77932
cl_f,2z,-559.186546
cl_f,2dz,-559.194189
cl_f,3z,-559.363305
cl_f,3dz,-559.366355
cl_f,4z,-559.418083
cl_f,4dz,-559.42017
cl_f,5z,-559.437054
cl_f,5dz,-559.437818
si2_h6,2z,-581.60478
si2_h6,2dz,-581.617216
si2_h6,3z,-581.685439
si2_h6,3dz,-581.690381
si2_h6,4z,-581.709856
si2_h6,4dz,-581.712596
si2_h6,5z,-581.717724
si2_h6,5dz,-581.718317
c_h3_cl,2z,-499.432475
c_h3_cl,2dz,-499.438674
c_h3_cl,3z,-499.550736
c_h3_cl,3dz,-499.553007
c_h3_cl,4z,-499.585286
c_h3_cl,4dz,-499.586824
c_h3_cl,5z,-499.596283
c_h3_cl,5dz,-499.596936
h3_c_s_h,2z,-438.046273
h3_c_s_h,2dz,-438.052979
h3_c_s_h,3z,-438.153399
h3_c_s_h,3dz,-438.156114
h3_c_s_h,4z,-438.183403
h3_c_s_h,4dz,-438.185107
h3_c_s_h,5z,-438.193178
h3_c_s_h,5dz,-438.193728
h_o_cl,2z,-535.220462
h_o_cl,2dz,-535.227596
h_o_cl,3z,-535.376648
h_o_cl,3dz,-535.379488
h_o_cl,4z,-535.423351
h_o_cl,4dz,-535.425275
h_o_cl,5z,-535.439227
h_o_cl,5dz,-535.439961
s_o2,2z,-547.6941
s_o2,2dz,-547.727772
s_o2,3z,-547.936709
s_o2,3dz,-547.953125
s_o2,4z,-548.008941
s_o2,4dz,-548.017987
s_o2,5z,-548.038147
s_o2,5dz,-548.040181
