molecule_name,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,one_norm,number_of_terms,log_fci_dim,n_elec,n_orbs,df_gap,SHCI,CCSDT,error,solved
Mn0_vdz,884820,69924,677686.4736842106,212749.95285196297,14.299130339597042,1.0083778527441846e-08,0.004171849,0.084495965,75,1,33.38413273752345,15.239663545745048,6657.570267642966,1542775,24.459354964600283,21,76,32.76393392122125,-103.94226,-103.9416472,0.000612831,TRUE
c_n_cc-pVDZ,17580,3434,14457,4180.170040970651,4.127859134896443,1.1120755829857264e-08,0.012113755,0.1102701958456433,28,1,12.952643030846026,5.487375151348189,386.4890021,31253,11.649408107691936,13,28,7.998077150273511,-92.49327929,-92.490625,0.002654291,FALSE
p2_cc-pVDZ,43828,6310,34866.72222222222,10875.620259734642,42.18060677281528,1.001482061575149e-08,0.005945855,0.2207471521587851,35,1,16.083672894082675,7.042745317186172,672.5559194050202,78043,19.49138325276514,30,36,8.971076533326144,-681.7262958,-681.723991,0.002304822,FALSE
cl_cc-pVDZ,1480,448,1204.7777777777778,308.9279951264364,55.94497896834572,1.793960514404906e-05,0.085200416,1.108202976946042,17,1,7.894430287586458,3.778417855898823,367.4972626467799,2748,9.327872418,17,18,13.978981368828215,-459.599138,-459.598864,0.000273973,TRUE
li_h_cc-pVDZ,3719,1169,2932.894736842105,683.9108817549444,3.0865440096894416,8.340959212488228e-08,0.018617112,0.1223290290183842,19,1,9.232107356,3.892011018372903,129.6680696897711,6037,4.465992220784307,4,19,3.653541532914448,-8.014358466,-8.014358,4.661184167531474e-07,TRUE
be_cc-pVDZ,478,184,390.7142857142857,90.93359317296849,1.9308913377179096,0.000185662,0.066830744,0.2240489071114517,13,1,6.071032186459489,2.862644311280061,68.61797210762583,902,3.9180827846421873,4,14,4.504143640802564,-14.61684259,-14.616843,4.06884515413708e-07,TRUE
h_f_cc-pVDZ,3917,773,2900.4736842105262,824.4007308930245,9.260837417,1.0825605807122354e-07,0.036633431,0.2356527417701711,18,1,9.130053015241884,3.871762064179068,222.7439737918945,6037,8.131010046,10,19,12.077323293877438,-100.2286402,-100.228146,0.000494185,TRUE
n2_cc-pVDZ,17558,3422,14424.714285714286,4176.260467187831,4.072318196781682,1.11949472844041e-08,0.012667652,0.1155641032757075,28,1,12.94857655809182,5.484705344506187,397.8561462672448,31193,12.146732748499884,14,28,8.205437108611248,-109.2769662,-109.27524,0.001726244,FALSE
V1_vdz,109062,12916,88289.22222222222,27449.46674086812,11.11631747701769,1.025656675606915e-08,0.007649318,0.1404443868787556,53,1,22.473181331812377,11.116228001918223,1753.824411677223,212148,14.51725971283975,12,54,26.81226664958398,-70.8284,-70.8278362,0.000563803,TRUE
V0_vdz,884834,69940,677690.8684210526,212754.553,13.709403120494253,1.0033554992926186e-08,0.00418655,0.086225424,75,1,33.38586404131966,15.240103071780434,6698.236647652262,1542705,23.03338623,19,76,33.85624955861931,-71.07767,-71.07640367,0.001266332,TRUE
si_h2_triplet_cc-pVDZ,37234,7198,28438.85714285714,8181.2734850226525,35.742464970813266,1.000797108038262e-08,0.005212218,0.1548876401853461,28,1,13.262624916722183,5.539319404545565,378.7368383924152,60041,12.912649542466516,16,28,9.554379205556842,-290.1081609,-290.107533,0.000627897,TRUE
c_h2_triplet_cc-pVDZ,20742,5500,16712.5,4405.556236163601,3.763859086054108,1.0461958094449676e-08,0.009116826,0.094999175,24,1,11.55707946752723,4.701409458383026,342.37507188628086,34707,7.934640311069442,8,24,8.552344195444407,-39.04166794,-39.04121,0.000457939,TRUE
si2_h6_cc-pVDZ,930032,51790,698850.0303030303,254140.61889517648,34.59946741201319,1.0000311705172212e-08,0.000687357,0.043069845,66,1,27.753653474825065,13.03925158747146,1262.0698758600126,1661912,30.80140161245557,34,66,6.130110837248894,-581.6123803,-581.610749,0.001631308,FALSE
c_h4_cc-pVDZ,153194,29108,124095.9411764706,36520.773687073255,4.754609864,1.0165647131116313e-08,0.002832794,0.050892606,34,1,15.635756558346026,6.621816726773695,816.4125271259593,269848,10.88888907549272,10,34,10.778172271294403,-40.3873742,-40.38682,0.000554195,TRUE
na2_cc-pVDZ,47186,7084,37981.16666666666,11705.583457621124,21.57258162053662,1.0035559624464694e-08,0.003247682,0.1082049605789234,35,1,16.140830106714514,7.020108168608732,362.1785858166669,84713,17.557467504495015,22,36,4.807618857201092,-323.7308349,-323.730835,7.094831744325347e-08,TRUE
Cu1_vdz,109114,12932,88328.62962962964,27456.449900872514,13.89380293744269,1.3540101362908776e-08,0.009738056,0.1576989492851902,53,1,22.472619165406343,11.114733743416243,2161.615765285452,212248,19.451486255274222,18,54,34.829374450705274,-196.96723,-196.9661354,0.0010946,TRUE
